Id,ms_zoning,lot_area,street,land_cont,lot_config,neighborhood,cond_1,cond_2,bldg_type,style,overall_qual,overall_cond,yr_built,yr_remodeled,roof_style,roof_mater,exter_1,mas_vnr_type,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_expo,bsmt_fin_1,bsmt_fin_1_sf,bsmt_fin_2,bsmt_fin_2_sf,bsmt_sf,heat,cent_air,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedrooms_gr,kitchen,kitch_qual,tot_rooms_gr,functional,fireplaces,garage_type,garage_finish,garage_car_size,garage_qual,garage_cond,paved_drive,misc_val,year_sold,ms_subclass,lot_shape,wood_deck_sf,sale_price,has_pool,functional_mapped,bsmt_baths
109,RL,13517,Pave,Lvl,CulDSac,Sawyer,RRA,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,BrkFace,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,725.0,GasA,Y,1479,0.0,0.0,2,1,3,1,Gd,6,Typ,0,Attchd,RFn,2,TA,TA,Y,0,2010,60,IR1,0,130500,0,6,0.0
544,RL,11492,Pave,Lvl,CulDSac,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,913.0,GasA,Y,2122,1.0,0.0,2,1,4,1,Gd,8,Typ,1,Attchd,RFn,2,TA,TA,Y,0,2009,60,IR1,0,220000,0,6,1.0
153,RL,7922,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,1057.0,GasA,Y,1057,1.0,0.0,1,0,3,1,Gd,5,Typ,0,Detchd,Unf,1,TA,TA,Y,0,2010,20,Reg,0,109000,0,6,1.0
318,RL,9802,Pave,Lvl,Inside,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,GasA,Y,1444,0.0,0.0,2,1,3,1,TA,7,Typ,0,BuiltIn,Fin,2,TA,TA,Y,0,2010,60,Reg,100,174000,0,6,0.0
255,RL,14235,Pave,Lvl,Inside,SawyerW,Norm,Norm,1Fam,Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,None,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,GasA,Y,1445,0.0,0.0,2,0,3,1,TA,6,Typ,0,Detchd,Unf,2,TA,TA,N,0,2010,50,IR1,0,138500,0,6,0.0
138,RL,16492,Pave,Lvl,Corner,NAmes,Fa,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,None,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,1517.0,GasA,Y,1888,0.0,0.0,2,1,2,1,Gd,6,Mod,1,Attchd,Fin,2,TA,TA,Y,0,2010,20,IR1,0,190000,0,3,0.0
2827,RM,3675,Pave,Lvl,Inside,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,547.0,GasA,Y,1072,1.0,0.0,2,0,2,1,TA,5,Typ,0,Basment,Fin,2,TA,TA,Y,0,2006,180,Reg,0,140000,0,6,1.0
145,RL,12160,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,1188.0,GasA,Y,1188,1.0,0.0,1,0,3,1,TA,6,Typ,0,Attchd,RFn,2,TA,TA,Y,0,2010,20,IR1,0,142000,0,6,1.0
1942,RL,15783,Pave,Lvl,Inside,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,924.0,GasA,Y,924,0.0,0.0,1,0,2,1,TA,6,Typ,0,Detchd,Unf,1,TA,TA,Y,400,2007,20,Reg,0,112500,0,6,0.0
1956,RL,11606,Pave,HLS,Inside,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,BrkFace,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,1040.0,GasA,Y,2080,0.0,1.0,1,2,5,1,Fa,9,Typ,2,Attchd,Unf,2,TA,TA,Y,0,2007,60,IR1,335,135000,0,6,0.5
1044,RM,1680,Pave,Lvl,Inside,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,483.0,GasA,Y,987,0.0,0.0,1,1,2,1,TA,4,Typ,0,Detchd,Unf,1,TA,TA,Y,0,2008,160,Reg,0,85400,0,6,0.0
2752,RL,7488,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,1208.0,GasA,Y,1208,0.0,0.0,2,0,2,1,Gd,6,Typ,0,Attchd,RFn,2,TA,TA,Y,0,2006,20,IR1,105,183600,0,6,0.0
807,RL,26400,Pave,Bnk,FR2,SawyerW,RRA,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,None,Gd,TA,PConc,None,None,,None,0.0,None,0.0,0.0,GasA,Y,2016,0.0,0.0,1,0,4,1,TA,7,Mod,1,Attchd,Unf,2,TA,TA,P,0,2009,70,Reg,0,131000,0,3,0.0
1177,FV,2645,Pave,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,960.0,GasA,Y,1607,1.0,0.0,2,1,3,1,Gd,7,Typ,0,Detchd,Unf,2,TA,TA,Y,0,2008,160,Reg,169,200000,0,6,1.0
1480,RL,9627,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1351.0,GasA,Y,1361,0.0,0.0,2,0,3,1,Gd,6,Typ,0,Attchd,RFn,2,TA,TA,Y,0,2008,20,Reg,0,193000,0,6,0.0
324,RL,10114,Pave,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,None,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,GasA,Y,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Attchd,RFn,2,TA,TA,Y,0,2010,20,Reg,0,173500,0,6,0.0
