Id,lot_area,street,land_cont,lot_config,neighborhood,cond_1,cond_2,bldg_type,style,overall_qual,overall_cond,yr_built,yr_remodeled,roof_style,roof_mater,exter_1,mas_vnr_type,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_expo,bsmt_fin_1,bsmt_fin_1_sf,bsmt_fin_2,bsmt_fin_2_sf,bsmt_sf,heat,cent_air,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedrooms_gr,kitchen,kitch_qual,tot_rooms_gr,functional,fireplaces,garage_type,garage_car_size,garage_cond,paved_drive,porch_1,porch_2,porch_3,porch_4,porch_5,misc_val,year_sold,ms_subclass,lot_shape,sale_price,has_pool,functional_mapped,bsmt_baths,porch_sf,full_bath_shift,half_bath_shift,bedrooms_gr_shift,fireplaces_shift,garage_car_size_shift,lot_area_scaled_mm,bsmt_fin_1_sf_scaled_mm,bsmt_fin_2_sf_scaled_mm,bsmt_sf_scaled_mm,gr_liv_area_scaled_mm,tot_rooms_gr_gr_liv_area,tot_rooms_gr_bedroom_gr,full_bath_gr_liv_area,gar_car_size_overall_qual,yr_built_overall_qual,bsmt_sf_gr_liv_area,functional_mapped_overall_qual,full_bath_gr_liv_area_log,tot_rooms_gr_bedroom_gr_log,lot_area_scaled_mm_log,gr_liv_area_scaled_mm_log,bsmt_fin_1_sf_scaled_mm_log,bsmt_fin_2_sf_scaled_mm_log,bsmt_sf_scaled_mm_log,bedrooms_gr_shift_log,tot_rooms_gr_log,tot_rooms_gr_gr_liv_area_log,lot_area_log,gr_liv_area_log
109,13517,Pave,Lvl,CulDSac,Sawyer,RRA,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,BrkFace,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,725.0,GasA,Y,1479,0.0,0.0,2,1,3,1,Gd,6,Typ,0,Attchd,2,TA,Y,0,44,0,0,0,0,2010,60,IR1,130500,0,6,0.0,44,3,2,4,1,3,1.0774698795180724,1.243601462522852,1.0,1.22613849033063,1.3284566838783707,8874,24,4437,18,11856,2204.0,36,8.39773375137891,3.1780538303479458,0.07461558856149193,0.2840178804007858,0.21801157524137452,0.0,0.20386979225236204,1.3862943611198906,1.791759469228055,9.090880931938855,9.511703431483827,7.2991214627108
544,11492,Pave,Lvl,CulDSac,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,913.0,GasA,Y,2122,1.0,0.0,2,1,4,1,Gd,8,Typ,1,Attchd,2,TA,Y,0,74,0,0,0,0,2009,60,IR1,220000,0,6,1.0,74,3,2,5,2,3,1.0646290424857325,1.2911334552102376,1.0,1.2847785402370555,1.512908777969019,16976,40,6366,21,13972,3035.0,42,8.758726607842037,3.6888794541139363,0.06262642157015658,0.41403414083326573,0.25552048003866945,0.0,0.25058636126658246,1.6094379124341003,2.0794415416798357,9.739555860853764,9.34940642009918,7.660114319173928
153,7922,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,1057.0,GasA,Y,1057,1.0,0.0,1,0,3,1,Gd,5,Typ,0,Detchd,1,TA,Y,0,52,0,0,0,0,2010,20,Reg,109000,0,6,1.0,52,2,1,4,1,2,1.041991122384274,1.3340950639853748,1.0,1.3296943231441047,1.2074010327022375,5285,20,2114,10,9765,2114.0,30,7.656337166430183,2.995732273553991,0.04113342351011571,0.18847014269060441,0.28825320731224296,0.0,0.284949083595712,1.3862943611198906,1.6094379124341003,8.572627898304338,8.977398978181862,6.963189985870238
318,9802,Pave,Lvl,Inside,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,GasA,Y,1444,0.0,0.0,2,1,3,1,TA,7,Typ,0,BuiltIn,2,TA,Y,100,0,0,0,0,0,2010,60,Reg,174000,0,6,0.0,100,3,2,4,1,3,1.0539124920735574,1.0,1.0,1.1197754210854647,1.3184165232358003,10108,28,4332,15,10030,1828.0,30,8.37378460812088,3.332204510175204,0.05250942207429499,0.27643141288868,0.0,0.0,0.11312814831282623,1.3862943611198906,1.9459101490553132,9.221082468508085,9.190341725469493,7.275172319452771
255,14235,Pave,Lvl,Inside,SawyerW,Norm,Norm,1Fam,Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,None,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,GasA,Y,1445,0.0,0.0,2,0,3,1,TA,6,Typ,0,Detchd,2,TA,N,0,59,0,0,0,0,2010,50,IR1,138500,0,6,0.0,59,3,1,4,1,3,1.0820228281547242,1.0,1.0,1.2108546475358701,1.3187033849684453,8670,24,4335,18,11400,2121.0,36,8.374476889214643,3.1780538303479458,0.07883227831145438,0.27664896972626185,0.0,0.0,0.19132643055945722,1.3862943611198906,1.791759469228055,9.067624069774588,9.563458999712138,7.275864600546533
138,16492,Pave,Lvl,Corner,NAmes,Fa,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,None,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,1517.0,GasA,Y,1888,0.0,0.0,2,1,2,1,Gd,6,Mod,1,Attchd,2,TA,Y,0,0,0,0,0,0,2010,20,IR1,190000,0,3,0.0,0,3,2,3,2,3,1.0963348129359545,1.1128884826325411,1.483717774762551,1.4731752963194011,1.4457831325301205,11328,18,5664,18,11796,3405.0,18,8.641885635373555,2.8903717578961645,0.09197262812983124,0.36865113498544805,0.10695887197481835,0.39455094792748596,0.38742013672661885,1.0986122886681098,1.791759469228055,9.3350328159335,9.71063069382679,7.543273346705446
2827,3675,Pave,Lvl,Inside,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,547.0,GasA,Y,1072,1.0,0.0,2,0,2,1,TA,5,Typ,0,Basment,2,TA,Y,0,44,0,0,0,0,2006,180,Reg,140000,0,6,1.0,44,3,1,3,1,3,1.0150602409638554,1.25,1.0,1.170617592014972,1.2117039586919105,5360,15,3216,18,12030,1619.0,36,8.075893630298857,2.70805020110221,0.014947961435873148,0.19202759930613117,0.22314355131420976,0.0,0.1575314659655226,1.0986122886681098,1.6094379124341003,8.586719254064848,8.209308411646937,6.977281341630747
145,12160,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,1188.0,GasA,Y,1188,1.0,0.0,1,0,3,1,TA,6,Typ,0,Attchd,2,TA,Y,0,0,0,0,0,0,2010,20,IR1,142000,0,6,1.0,0,2,1,4,1,3,1.0688649334178821,1.457038391224863,1.0,1.3705552089831565,1.2449799196787148,7128,24,2376,15,9795,2376.0,30,7.773173680482536,3.1780538303479458,0.06659727552694097,0.21911940101448427,0.3764058763682339,0.0,0.3152159197750572,1.3862943611198906,1.791759469228055,8.871785969150645,9.405907155520158,7.080026499922591
1942,15783,Pave,Lvl,Inside,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,924.0,GasA,Y,924,0.0,0.0,1,0,2,1,TA,6,Typ,0,Detchd,1,TA,Y,0,324,0,0,0,400,2007,20,Reg,112500,0,6,0.0,324,2,1,3,1,2,1.0918389346861128,1.13345521023766,1.0,1.2882096069868996,1.1692484222604704,5544,18,1848,10,9760,1848.0,30,7.521859252201629,2.8903717578961645,0.08786337073546366,0.15636116826264918,0.1252706756171561,0.0,0.2532533527855802,1.0986122886681098,1.791759469228055,8.620471540869739,9.666688690398917,6.828712071641684
1956,11606,Pave,HLS,Inside,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,BrkFace,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,1040.0,GasA,Y,2080,0.0,1.0,1,2,5,1,Fa,9,Typ,2,Attchd,2,TA,Y,335,0,0,0,0,0,2007,60,IR1,135000,0,6,0.5,335,2,3,6,3,3,1.0653519340519975,1.2970749542961608,1.0,1.3243917654398003,1.5008605851979344,18720,54,4160,15,9845,3120.0,30,8.333270353255308,3.9889840465642745,0.0633051990822406,0.40603866705706826,0.2601116941781161,0.0,0.2809533090937031,1.791759469228055,2.1972245773362196,9.837347750031583,9.359277484750553,7.640123172695364
