,lot_area,street,land_cont,neighborhood,cond_1,cond_2,bldg_type,style,overall_cond,yr_built,yr_remodeled,roof_style,exter_cond,foundation,bsmt_cond,bsmt_fin_1,bsmt_fin_2,bsmt_sf,heat,cent_air,gr_liv_area,full_bath,half_bath,bedrooms_gr,kitchen,kitch_qual,fireplaces,garage_type,garage_car_size,paved_drive,year_sold,has_pool
0,13517,Pave,Lvl,Sawyer,RRA,Norm,1Fam,2Story,8,1976,2005,Gable,TA,CBlock,TA,GLQ,Unf,725.0,GasA,Y,1479,2,1,3,1,Gd,0,Attchd,2,Y,2010,0
1,11492,Pave,Lvl,SawyerW,Norm,Norm,1Fam,2Story,5,1996,1997,Gable,TA,PConc,TA,GLQ,Unf,913.0,GasA,Y,2122,2,1,4,1,Gd,1,Attchd,2,Y,2009,0
2,7922,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,7,1953,2007,Gable,Gd,CBlock,TA,GLQ,Unf,1057.0,GasA,Y,1057,1,0,3,1,Gd,0,Detchd,1,Y,2010,0
3,9802,Pave,Lvl,Timber,Norm,Norm,1Fam,2Story,5,2006,2007,Gable,TA,PConc,TA,Unf,Unf,384.0,GasA,Y,1444,2,1,3,1,TA,0,BuiltIn,2,Y,2010,0
4,14235,Pave,Lvl,SawyerW,Norm,Norm,1Fam,Fin,8,1900,1993,Gable,TA,PConc,Gd,Unf,Unf,676.0,GasA,Y,1445,2,0,3,1,TA,0,Detchd,2,N,2010,0
5,16492,Pave,Lvl,NAmes,Fa,Norm,1Fam,1Story,6,1966,2002,Gable,TA,CBlock,TA,ALQ,Rec,1517.0,GasA,Y,1888,2,1,2,1,Gd,1,Attchd,2,Y,2010,0
6,3675,Pave,Lvl,Edwards,Norm,Norm,TwnhsE,SFoyer,5,2005,2006,Gable,TA,PConc,TA,GLQ,Unf,547.0,GasA,Y,1072,2,0,2,1,TA,0,Basment,2,Y,2006,0
7,12160,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Hip,TA,CBlock,TA,Rec,Unf,1188.0,GasA,Y,1188,1,0,3,1,TA,0,Attchd,2,Y,2010,0
8,15783,Pave,Lvl,OldTown,Artery,Norm,1Fam,1Story,5,1952,1952,Gable,TA,CBlock,TA,Rec,Unf,924.0,GasA,Y,924,1,0,2,1,TA,0,Detchd,1,Y,2007,0
9,11606,Pave,HLS,NAmes,Norm,Norm,1Fam,2Story,5,1969,1969,Gable,TA,PConc,TA,Rec,Unf,1040.0,GasA,Y,2080,1,2,5,1,Fa,2,Attchd,2,Y,2007,0
10,1680,Pave,Lvl,BrDale,Norm,Norm,Twnhs,2Story,5,1971,1971,Gable,TA,CBlock,TA,ALQ,Unf,483.0,GasA,Y,987,1,1,2,1,TA,0,Detchd,1,Y,2008,0
11,7488,Pave,Lvl,CollgCr,Norm,Norm,1Fam,1Story,5,2005,2005,Gable,TA,PConc,TA,GLQ,Unf,1208.0,GasA,Y,1208,2,0,2,1,Gd,0,Attchd,2,Y,2006,0
12,26400,Pave,Bnk,SawyerW,RRA,Norm,1Fam,2Story,7,1880,2007,Gable,TA,PConc,None,None,None,0.0,GasA,Y,2016,1,0,4,1,TA,1,Attchd,2,P,2009,0
13,2645,Pave,Lvl,Somerst,Norm,Norm,Twnhs,2Story,5,1999,2000,Gable,TA,PConc,TA,GLQ,Unf,960.0,GasA,Y,1607,2,1,3,1,Gd,0,Detchd,2,Y,2008,0
14,9627,Pave,Lvl,CollgCr,Norm,Norm,1Fam,1Story,5,2007,2007,Gable,TA,PConc,TA,GLQ,Unf,1351.0,GasA,Y,1361,2,0,3,1,Gd,0,Attchd,2,Y,2008,0
15,10114,Pave,Lvl,Mitchel,Norm,Norm,1Fam,1Story,5,2004,2005,Gable,TA,PConc,TA,Unf,Unf,1430.0,GasA,Y,1430,2,0,3,1,Gd,0,Attchd,2,Y,2010,0
16,4571,Pave,Lvl,OldTown,Norm,Norm,1Fam,2Story,5,1916,1950,Gable,TA,BrkTil,TA,Unf,Unf,624.0,GasA,N,1344,1,0,4,1,TA,0,Detchd,3,Y,2008,0
17,8816,Pave,Lvl,Sawyer,RRA,Norm,1Fam,1Story,6,1963,1963,Gable,TA,PConc,TA,Rec,Unf,1121.0,GasA,Y,1121,1,0,3,1,TA,0,Detchd,2,Y,2009,0
18,8197,Pave,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,1977,1977,Gable,TA,CBlock,TA,Unf,Unf,660.0,GasA,Y,1285,1,1,3,1,TA,1,Attchd,2,Y,2007,0
19,8640,Pave,Lvl,Somerst,Norm,Norm,1Fam,2Story,5,2009,2009,Gable,TA,PConc,TA,GLQ,Unf,756.0,GasA,Y,1547,2,1,3,1,Gd,0,Attchd,2,Y,2010,0
20,8724,Pave,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,1968,1968,Gable,TA,CBlock,TA,BLQ,Unf,894.0,GasA,Y,894,1,0,3,1,TA,1,Attchd,2,Y,2007,0
21,5664,Pave,Lvl,StoneBr,Norm,Norm,TwnhsE,1Story,5,2000,2000,Gable,TA,PConc,TA,GLQ,Unf,1501.0,GasA,Y,1659,2,0,2,1,Ex,1,Attchd,2,Y,2009,0
22,12867,Pave,Lvl,NridgHt,Norm,Norm,1Fam,2Story,5,2005,2006,Gable,TA,PConc,TA,Unf,Unf,1209.0,GasA,Y,2253,2,1,3,1,Ex,1,Attchd,2,Y,2006,0
23,7980,Pave,Lvl,Gilbert,Norm,Norm,1Fam,1Story,7,1992,2007,Gable,Gd,PConc,TA,ALQ,Unf,1168.0,GasA,Y,1187,2,0,3,1,TA,0,Attchd,2,Y,2010,0
24,34650,Pave,Bnk,Gilbert,Norm,Norm,2fmCon,1Story,5,1955,1955,Hip,TA,CBlock,TA,Rec,Unf,1056.0,GasA,N,1056,1,0,3,1,TA,0,Attchd,2,Y,2006,0
25,10573,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,1961,1961,Hip,TA,CBlock,TA,Rec,Unf,1453.0,GasA,Y,1453,2,0,3,1,TA,1,Attchd,2,Y,2009,0
26,8450,Pave,Lvl,Sawyer,RRA,Norm,1Fam,1Story,8,1965,2009,Gable,Gd,CBlock,TA,GLQ,BLQ,894.0,GasA,Y,894,1,0,3,1,TA,1,Detchd,1,Y,2010,0
27,11700,Pave,HLS,Crawfor,Norm,Norm,1Fam,Fin,6,1937,1995,Gable,TA,CBlock,TA,BLQ,Unf,942.0,GasA,Y,1938,2,0,4,1,Gd,1,Detchd,1,Y,2008,0
28,8250,Pave,Lvl,IDOTRR,RRA,Norm,2fmCon,2Story,6,1895,2006,Gable,Gd,CBlock,TA,Unf,Unf,957.0,GasA,N,1991,2,0,4,2,TA,0,None,0,N,2007,0
29,8064,Pave,Lvl,NAmes,Artery,Norm,1Fam,Fin,7,1949,2006,Gable,Gd,CBlock,TA,Unf,Unf,672.0,GasA,Y,924,1,0,3,1,TA,1,Detchd,2,Y,2007,0
30,9600,Pave,Lvl,,Fa,Norm,1Fam,1Story,5,1981,1981,Hip,TA,PConc,TA,ALQ,Unf,2524.0,GasA,Y,2524,2,1,4,1,Gd,1,Attchd,2,Y,2009,0
31,11435,Pave,HLS,Crawfor,Norm,Norm,1Fam,2Story,7,1929,1950,Gable,TA,PConc,TA,Unf,Unf,792.0,GasA,Y,1517,1,0,3,1,Gd,2,Detchd,2,Y,2006,0
32,9549,Pave,Lvl,Veenker,Norm,Norm,TwnhsE,1Story,5,1995,1996,Hip,Gd,PConc,Gd,LwQ,GLQ,1494.0,GasA,Y,1494,1,1,2,1,Ex,1,Attchd,2,Y,2006,0
33,10950,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,1952,1952,Hip,TA,CBlock,TA,ALQ,Unf,948.0,GasA,Y,948,1,0,2,1,TA,0,Detchd,2,N,2007,0
34,10637,Pave,Lvl,CollgCr,Norm,Norm,1Fam,1Story,5,2007,2008,Hip,TA,PConc,TA,GLQ,Unf,1705.0,GasA,Y,1718,2,0,3,1,Gd,1,Attchd,3,Y,2009,0
35,9000,Pave,HLS,NAmes,Norm,Norm,1Fam,1Story,6,1958,1958,Other,TA,CBlock,TA,Unf,Unf,160.0,GasA,Y,1142,1,0,2,1,TA,1,Basment,1,Y,2009,0
36,2665,Pave,Lvl,MeadowV,Norm,Norm,TwnhsE,2Story,6,1977,1977,Gable,TA,PConc,TA,ALQ,Rec,757.0,GasA,Y,1475,2,0,4,1,TA,1,Attchd,1,Y,2006,0
37,11751,Pave,Lvl,,Norm,Norm,1Fam,1Story,6,1977,1977,Hip,TA,CBlock,TA,BLQ,Unf,1844.0,GasA,Y,1844,2,0,3,1,TA,1,Attchd,2,Y,2010,0
38,9600,Pave,Lvl,,Norm,Norm,1Fam,1Story,6,1973,1973,Hip,TA,CBlock,TA,ALQ,Unf,1242.0,GasA,Y,1242,1,1,3,1,TA,1,Attchd,2,Y,2007,0
39,8428,Pave,Lvl,CollgCr,Norm,Norm,1Fam,1Story,7,1994,1994,Gable,Gd,PConc,Gd,GLQ,Unf,990.0,GasA,Y,990,1,0,3,1,TA,0,Detchd,1,Y,2007,0
40,9937,Pave,Lvl,Edwards,Norm,Norm,1Fam,1Story,6,1965,1965,Gable,TA,CBlock,TA,BLQ,LwQ,1256.0,GasA,Y,1256,1,1,3,1,TA,0,Attchd,1,Y,2008,0
41,13891,Pave,Lvl,NridgHt,Norm,Norm,1Fam,1Story,5,2006,2006,Gable,TA,PConc,Gd,GLQ,Unf,2076.0,GasA,Y,2076,2,1,2,1,Ex,1,Attchd,3,Y,2006,0
42,9101,Pave,Lvl,Mitchel,Norm,Norm,1Fam,SFoyer,6,1978,1978,Gable,Gd,PConc,TA,GLQ,Unf,1097.0,GasA,Y,1110,1,0,1,1,Gd,1,Attchd,2,Y,2009,0
43,12150,Pave,Lvl,OldTown,Norm,Norm,1Fam,Fin,5,1954,1954,Gable,TA,BrkTil,TA,Unf,Unf,1050.0,GasA,N,1795,2,0,4,1,TA,0,Attchd,1,Y,2008,0
