Id,lot_area,street,land_cont,lot_config,neighborhood,cond_1,cond_2,bldg_type,style,overall_qual,overall_cond,yr_built,yr_remodeled,roof_style,roof_mater,exter_1,mas_vnr_type,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_expo,bsmt_fin_1,bsmt_fin_1_sf,bsmt_fin_2,bsmt_fin_2_sf,bsmt_sf,heat,cent_air,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedrooms_gr,kitchen,kitch_qual,tot_rooms_gr,functional,fireplaces,garage_type,garage_car_size,garage_cond,paved_drive,porch_1,porch_2,porch_3,porch_4,porch_5,misc_val,year_sold,ms_subclass,lot_shape,sale_price,has_pool,functional_mapped,bsmt_baths,porch_sf
109,13517,Pave,Lvl,CulDSac,Sawyer,RRA,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,BrkFace,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,725.0,GasA,Y,1479,0.0,0.0,2,1,3,1,Gd,6,Typ,0,Attchd,2,TA,Y,0,44,0,0,0,0,2010,60,IR1,130500,0,6,0.0,44
544,11492,Pave,Lvl,CulDSac,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,913.0,GasA,Y,2122,1.0,0.0,2,1,4,1,Gd,8,Typ,1,Attchd,2,TA,Y,0,74,0,0,0,0,2009,60,IR1,220000,0,6,1.0,74
153,7922,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,1057.0,GasA,Y,1057,1.0,0.0,1,0,3,1,Gd,5,Typ,0,Detchd,1,TA,Y,0,52,0,0,0,0,2010,20,Reg,109000,0,6,1.0,52
318,9802,Pave,Lvl,Inside,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,GasA,Y,1444,0.0,0.0,2,1,3,1,TA,7,Typ,0,BuiltIn,2,TA,Y,100,0,0,0,0,0,2010,60,Reg,174000,0,6,0.0,100
255,14235,Pave,Lvl,Inside,SawyerW,Norm,Norm,1Fam,Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,None,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,GasA,Y,1445,0.0,0.0,2,0,3,1,TA,6,Typ,0,Detchd,2,TA,N,0,59,0,0,0,0,2010,50,IR1,138500,0,6,0.0,59
138,16492,Pave,Lvl,Corner,NAmes,Fa,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,None,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,1517.0,GasA,Y,1888,0.0,0.0,2,1,2,1,Gd,6,Mod,1,Attchd,2,TA,Y,0,0,0,0,0,0,2010,20,IR1,190000,0,3,0.0,0
2827,3675,Pave,Lvl,Inside,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,547.0,GasA,Y,1072,1.0,0.0,2,0,2,1,TA,5,Typ,0,Basment,2,TA,Y,0,44,0,0,0,0,2006,180,Reg,140000,0,6,1.0,44
145,12160,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,1188.0,GasA,Y,1188,1.0,0.0,1,0,3,1,TA,6,Typ,0,Attchd,2,TA,Y,0,0,0,0,0,0,2010,20,IR1,142000,0,6,1.0,0
1942,15783,Pave,Lvl,Inside,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,924.0,GasA,Y,924,0.0,0.0,1,0,2,1,TA,6,Typ,0,Detchd,1,TA,Y,0,324,0,0,0,400,2007,20,Reg,112500,0,6,0.0,324
1956,11606,Pave,HLS,Inside,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,BrkFace,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,1040.0,GasA,Y,2080,0.0,1.0,1,2,5,1,Fa,9,Typ,2,Attchd,2,TA,Y,335,0,0,0,0,0,2007,60,IR1,135000,0,6,0.5,335
